"berlin_correct_count","mean_subjective_numeracy","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk","Q1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.24,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.29,-0.07,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.11,0.05,0.79,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.02,0.13,0.62,0.42,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.18,-0.1,0.63,0.71,0.47,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.24,-0.11,0.3,0.45,-0.11,0.34,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.21,0.03,0.76,0.63,0.79,0.14,0.45,-0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.17,0.27,0.69,0.56,0.41,0.55,0.08,0.13,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.13,-0.08,0.6,0.78,0.47,0.22,0.66,0.13,0.45,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.16,-0.26,0.2,0.53,-0.08,0.19,0.18,0.59,-0.08,0.07,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.25,-0.01,0.85,0.94,0.61,0.4,0.52,0.25,0.73,0.71,0.77,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.21,-0.01,0.93,0.84,0.71,0.67,0.72,0.45,0.54,0.45,0.6,0.3,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.09,0.11,0.88,0.61,0.84,0.77,0.4,0.12,0.61,0.58,0.44,0.06,0.64,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.27,-0.13,0.65,0.79,0.29,0.31,0.82,0.66,0.26,0.13,0.57,0.47,0.54,0.8,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.22,0.16,0.83,0.68,0.69,0.38,0.31,-0.01,0.89,0.87,0.42,-0.01,0.82,0.57,0.68,0.23,NA,NA,NA,NA,NA,NA,NA,NA
-0.17,-0.21,0.51,0.82,0.26,0.26,0.54,0.43,0.24,0.23,0.83,0.78,0.77,0.57,0.32,0.65,0.27,NA,NA,NA,NA,NA,NA,NA
0.14,0.23,0.07,-0.01,0.02,0.15,0.01,-0.07,0.03,0.14,0.01,-0.19,0,0.04,0.1,-0.04,0.09,-0.1,NA,NA,NA,NA,NA,NA
0.32,0.52,-0.08,-0.22,-0.12,0.1,-0.25,0,-0.13,0.14,-0.32,-0.21,-0.2,-0.12,-0.02,-0.19,0,-0.33,0.35,NA,NA,NA,NA,NA
0.27,-0.03,-0.21,-0.31,0.04,-0.19,0.03,-0.31,-0.13,-0.32,-0.19,-0.31,-0.35,-0.14,-0.08,-0.16,-0.25,-0.3,0.02,0.05,NA,NA,NA,NA
0.07,0.13,0.32,0.19,0.56,-0.01,0.5,-0.53,0.46,0.05,0.35,-0.3,0.23,0.28,0.37,0.07,0.3,0.06,0.04,-0.13,0.35,NA,NA,NA
-0.17,-0.05,-0.18,-0.08,-0.43,0.13,-0.37,0.61,-0.41,-0.04,-0.27,0.37,-0.15,-0.1,-0.21,0.07,-0.26,0.04,0.08,0.05,-0.39,-0.74,NA,NA
-0.16,-0.15,0.3,0.22,0.38,0.05,0.32,-0.09,0.31,0.08,0.26,-0.16,0.19,0.29,0.28,0.19,0.22,0.08,0.07,-0.23,0.32,0.47,-0.44,NA
