,berlin_correct_count,mean_subjective_numeracy,mean_cliticalThinking_attitude,averageNumerical,averageNonNumerical,health_correct_count,HBM_average_benefit_3,HBM_average_risk_3,numAttitude_average,HBM_average_acceptance_4,HBM_average_benefit_4,HBM_average_risk_4,Q1
berlin_correct_count,,,,,,,,,,,,,
mean_subjective_numeracy,0.2,,,,,,,,,,,,
mean_cliticalThinking_attitude,0.07,0.37,,,,,,,,,,,
averageNumerical,0.06,0.17,0.13,,,,,,,,,,
averageNonNumerical,-0.06,0.09,0.07,0.88,,,,,,,,,
health_correct_count,0.27,0.11,0.05,0.05,-0.02,,,,,,,,
HBM_average_benefit_3,0.12,0.07,-0.07,0.42,0.22,0.08,,,,,,,
HBM_average_risk_3,-0.13,-0.08,0.15,-0.15,0.02,-0.07,-0.6,,,,,,
numAttitude_average,0.3,0.33,0.36,0.23,0.1,0.12,0.17,-0.02,,,,,
HBM_average_acceptance_4,0.05,-0.07,0,0.13,-0.03,-0.04,0.44,-0.39,0.13,,,,
HBM_average_benefit_4,0.17,0.09,-0.03,0.38,0.21,0.07,0.71,-0.57,0.22,0.43,,,
HBM_average_risk_4,-0.2,-0.04,0.06,-0.18,-0.02,-0.05,-0.58,0.73,-0.09,-0.47,-0.63,,
Q1,0.15,0,-0.02,0.3,0.15,0.06,0.62,-0.46,0.15,0.47,0.54,-0.48,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
