"berlin_correct_count","mean_subjective_numeracy","berlin_oneItem","averageNumerical","averageNonNumerical","averageInformativenessPositiveNumerical","averageInformativenessNetagtiveNumerical","averageInformativenessPositiveNonNumerical","averageInformativenessNetagtiveNonNumerical","averageCredibilityPositiveNumerical","averageCredibilityNetagtiveNumerical","averageCredibilityPositiveNonNumerical","averageCredibilityNetagtiveNonNumerical","averageCredibility","averageInformativeness","averageInformativenessNumerical","averageInformativenessNonNumerical","averageCredibilityNumerical","averageCredibilityNonNumerical","health_correct_count","êîílë‘ìx_ïΩãœ","HBM_average_Acceptance","HBM_average_Benefit","HBM_average_Risk","Q1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.02,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.22,0.07,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.26,-0.07,-0.04,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.12,0.06,-0.06,0.77,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01,0.13,0.21,0.62,0.42,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.16,-0.11,-0.22,0.62,0.7,0.45,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.19,-0.12,0.15,0.31,0.48,-0.15,0.35,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.22,0.05,-0.13,0.75,0.6,0.8,0.13,0.43,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.15,0.26,0.18,0.7,0.57,0.41,0.54,0.08,0.14,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.13,-0.08,-0.08,0.59,0.77,0.47,0.21,0.66,0.11,0.44,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.11,-0.26,-0.01,0.22,0.55,-0.11,0.21,0.19,0.64,-0.1,0.1,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.23,-0.02,-0.02,0.85,0.94,0.59,0.41,0.52,0.27,0.71,0.72,0.76,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.19,-0.01,0.01,0.93,0.84,0.68,0.67,0.72,0.46,0.53,0.46,0.6,0.33,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.09,0.11,0.08,0.88,0.6,0.84,0.75,0.39,0.1,0.62,0.59,0.44,0.04,0.63,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.23,-0.15,-0.08,0.63,0.8,0.24,0.32,0.81,0.69,0.22,0.14,0.55,0.52,0.54,0.8,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.21,0.17,0.03,0.83,0.67,0.7,0.38,0.3,-0.01,0.89,0.87,0.42,-0.01,0.81,0.56,0.69,0.21,NA,NA,NA,NA,NA,NA,NA,NA
-0.15,-0.21,-0.06,0.51,0.83,0.23,0.26,0.53,0.47,0.22,0.24,0.8,0.79,0.78,0.58,0.31,0.67,0.26,NA,NA,NA,NA,NA,NA,NA
0.15,0.24,-0.11,0.06,-0.04,0.04,0.14,-0.01,-0.12,0.04,0.14,0.01,-0.23,-0.01,0.02,0.11,-0.08,0.1,-0.14,NA,NA,NA,NA,NA,NA
0.28,0.53,0.22,-0.08,-0.23,-0.09,0.1,-0.26,-0.05,-0.1,0.14,-0.31,-0.24,-0.2,-0.13,-0.01,-0.22,0.02,-0.34,0.37,NA,NA,NA,NA,NA
0.25,-0.03,-0.03,-0.17,-0.26,0.05,-0.16,0.03,-0.25,-0.12,-0.27,-0.18,-0.23,-0.3,-0.11,-0.06,-0.12,-0.22,-0.26,0.01,0.05,NA,NA,NA,NA
0.06,0.12,-0.18,0.34,0.21,0.56,-0.01,0.49,-0.48,0.46,0.08,0.36,-0.25,0.25,0.29,0.38,0.08,0.31,0.07,0.03,-0.13,0.36,NA,NA,NA
-0.15,-0.04,0.15,-0.19,-0.09,-0.43,0.15,-0.37,0.57,-0.41,-0.05,-0.28,0.33,-0.16,-0.1,-0.21,0.06,-0.27,0.03,0.08,0.07,-0.38,-0.73,NA,NA
-0.13,-0.13,-0.11,0.31,0.2,0.41,0.05,0.28,-0.12,0.32,0.13,0.26,-0.17,0.21,0.28,0.31,0.14,0.26,0.06,0.12,-0.17,0.33,0.46,-0.42,NA
